Emotion,Text
neutral,"Say , Jim , how about going for a few beers after dinner ? "
neutral, You know that is tempting but is really not good for our fitness . 
neutral, What do you mean ? It will help us to relax . 
neutral, Do you really think so ? I don't . It will just make us fat and act silly . Remember last time ? 
neutral, I guess you are right.But what shall we do ? I don't feel like sitting at home . 
neutral, I suggest a walk over to the gym where we can play singsong and meet some of our friends . 
neutral,Can you do push-ups ? 
neutral," Of course I can . It's a piece of cake ! Believe it or not , I can do 30 push-ups a minute . "
neutral, You mean 30 push-ups ? 
neutral, Yeah ! 
neutral," It's easy . If you do exercise everyday , you can make it , too . "
neutral,Can you study with the radio on ? 
neutral," No , I listen to background music . "
neutral, What is the difference ? 
neutral, The radio has too many comerials . 
neutral," That's true , but then you have to buy a record player . "
neutral,Are you all right ? 
neutral, I will be all right soon . I was terrified when I watched them fall from the wire . 
neutral, I see . 
neutral,"Hey John , nice skates . Are they new ? "
neutral," Yeah , I just got them . I started playing ice hockey in a community league . So , I finally got myself new skates . "
neutral, What position do you play ? 
neutral, I ' m a defender . It ' s a lot of fun . You don ' t have to be able to skate as fast on defense . 
neutral," Yeah , you ' re a pretty big guy . I play goalie , myself . "
neutral, The Rockets . 
neutral," All right , see you later . "
neutral,"Hey Lydia , what are you reading ? "
neutral, What are you talking about ? Let me see that ... What are horoscopes ? 
neutral," It ' s a prediction of your month , based on your zodiac sign . You have a different sign for the month and date you were born in . I was born on April 15th , so I ' m an Aries . When were you born ? "
neutral, January 5th . 
neutral," That ' s bogus . I don't feel any stress at work , and my love life is practically nonexistent . This zodiac stuff is all a bunch of nonsense . "
neutral," No , it ' s not , your astrology sign can tell you a lot about your personality . See ? It says that an Aries is energetic and loves to socialize . "
neutral," Well , you certainly match those criteria , but they ' re so broad they could apply to anyone . What does it say about me ? "
neutral,"Frank ' s getting married , do you believe this ? "
neutral," Yes , he is . He loves the girl very much . "
neutral, Who is he marring ? 
neutral," A girl he met on holiday in Spain , I think . "
neutral, Have they set a date for the wedding ? 
neutral, Not yet . 
neutral,I hear you bought a new house in the northern suburbs . 
neutral," That ' s right , we bought it the same day we came on the market . "
neutral, What kind of house is it ? 
neutral," No , it has three bedrooms and three beds , and has a living room with a twelve-foot ceiling . There ' s a two-car garage . "
neutral," Yeas , when will you buy a house ? "
neutral," Not untill the end of this year , you know , just before my wedding . "
neutral,"Hi , Becky , what's up ? "
neutral," Not much , except that my mother-in-law is driving me up the wall . "
neutral, What's the problem ? 
neutral, She loves to nit-pick and criticizes everything that I do . I can never do anything right when she's around . 
neutral, For example ? 
neutral," Well , last week I invited her over to dinner . My husband and I had no problem with the food , but if you listened to her , then it would seem like I fed her old meat and rotten vegetables . There's just nothing can please her . "
neutral," No , I can't see that happening . I know you're a good cook and nothing like that would ever happen . "
neutral, It's not just that . She also criticizes how we raise the kids . 
